質量_A,
t,y
22.283,-8.356
22.316,-8.191
22.349,-8.002
22.383,-7.75
22.416,-7.459
22.449,-7.121
22.483,-6.751
22.516,-6.35
22.549,-5.957
22.583,-5.524
22.616,-5.131
22.649,-4.714
22.683,-4.336
22.716,-3.959
22.749,-3.66
22.783,-3.369
22.816,-3.172
22.849,-2.991
22.883,-2.873
22.916,-2.794
22.949,-2.865
22.983,-2.944
23.016,-3.085
23.049,-3.329
23.083,-3.534
23.116,-3.848
23.149,-4.21
23.183,-4.572
23.216,-4.958
23.249,-5.406
23.283,-5.839
23.316,-6.256
23.349,-6.665
23.383,-7.042
23.416,-7.451
23.45,-7.758
23.483,-7.97
23.516,-8.191
23.55,-8.301
23.583,-8.372
23.616,-8.411
23.649,-8.348
23.683,-8.238
23.716,-8.049
23.75,-7.829
23.783,-7.53
23.816,-7.247
23.85,-6.861
23.883,-6.499
23.916,-6.114
23.95,-5.705
23.983,-5.335
24.016,-4.926
24.05,-4.509
24.083,-4.132
24.116,-3.786
24.15,-3.518
24.183,-3.298
24.216,-3.07
24.25,-2.967
24.283,-2.897
24.316,-2.873
24.35,-2.92
24.383,-3.046
24.416,-3.219
24.45,-3.439
24.483,-3.699
24.516,-4.053
24.55,-4.438
24.583,-4.855
24.616,-5.28
24.65,-5.697
24.683,-6.098
24.716,-6.547
24.75,-6.94
24.783,-7.27
24.816,-7.593
24.85,-7.892
24.883,-8.088
24.916,-8.254
24.95,-8.34
24.983,-8.395
25.016,-8.372
25.05,-8.277
25.083,-8.144
25.116,-7.963
25.15,-7.672
25.183,-7.38
25.216,-7.066
25.25,-6.68
25.283,-6.295
25.316,-5.917
25.35,-5.508
25.383,-5.099
25.416,-4.706
25.45,-4.336
25.483,-3.998
25.516,-3.668
25.55,-3.424
25.583,-3.203
25.616,-3.046
25.65,-2.952
25.683,-2.889
25.716,-2.912
25.75,-2.991
25.783,-3.133
25.816,-3.329
25.85,-3.581
25.883,-3.911
25.916,-4.25
25.95,-4.635
25.983,-5.036
26.016,-5.445
26.05,-5.917
26.083,-6.342
26.116,-6.72
26.15,-7.082
26.183,-7.443
26.216,-7.79
26.25,-7.963
26.283,-8.167
26.316,-8.324
26.35,-8.387
26.383,-8.395
26.416,-8.332
26.45,-8.222
26.483,-8.049
26.516,-7.868
26.55,-7.569
26.583,-7.286
26.616,-6.901
26.65,-6.586
26.683,-6.177
26.716,-5.791
26.75,-5.382
26.783,-4.981
26.816,-4.588
26.85,-4.21
26.883,-3.896
26.916,-3.62
26.95,-3.337
26.983,-3.14
27.016,-3.015
27.05,-2.952
27.083,-2.92
27.116,-2.975
27.15,-3.093
27.183,-3.227
27.216,-3.526
27.25,-3.77
27.283,-4.116
27.316,-4.47
27.35,-4.832
27.383,-5.296
27.416,-5.666
27.45,-6.114
27.483,-6.515
27.516,-6.901
27.55,-7.255
27.583,-7.585
27.616,-7.868
27.65,-8.057
27.683,-8.254
27.716,-8.332
27.75,-8.395
27.783,-8.372
27.816,-8.285
27.85,-8.136
27.883,-7.97
27.916,-7.734
27.95,-7.443
27.983,-7.105
28.016,-6.751
28.05,-6.381
28.083,-5.98
28.116,-5.548
28.15,-5.194
28.183,-4.792
28.216,-4.383
28.25,-4.077
28.283,-3.754
28.316,-3.479
28.35,-3.251
28.383,-3.117
28.416,-2.975
28.45,-2.912
28.483,-2.928
28.516,-3.015
28.55,-3.164
28.583,-3.353
28.616,-3.605
28.65,-3.896
28.683,-4.25
28.716,-4.611
28.75,-4.981
28.783,-5.453
28.816,-5.886
28.85,-6.25
28.883,-6.692
28.916,-7.035
28.95,-7.385
28.983,-7.673
29.016,-7.946
29.05,-8.142
29.083,-8.261
29.116,-8.338
29.15,-8.373
29.183,-8.31
29.216,-8.219
29.25,-8.065
29.283,-7.827
29.316,-7.582
29.35,-7.315
29.383,-6.923
29.416,-6.531
